,Ref_DOI_number,Ref_publication_date,Ref_journal,JV_default_Voc,JV_default_Jsc,JV_default_FF,JV_default_PCE,JV_light_intensity,Perovskite_band_gap,Perovskite_composition_short_form,Cell_architecture,DOI,Citations,Journal,Publication_date
2247,10.1021/acsphotonics.7b00801,2017-10-05,ACS Photonics,0.94,20.61,0.65,12.57,100.0,1.6,MAPbI,nip,10.1021/acsphotonics.7b00801,12,ACS Photonics,2017-10-05
2248,10.1007/s10854-019-01561-0,2019-05-28,Journal of Materials Science: Materials in Electronics,0.99,20.58,0.62,12.58,100.0,1.6,MAPbI,nip,10.1007/s10854-019-01561-0,4,Journal of Materials Science: Materials in Electronics,2019-05-28
2249,10.1016/j.scib.2019.05.015,2019-05-22,Science Bulletin,1.17,14.69,0.732,12.59,100.0,1.92,CsPbBrI,nip,10.1016/j.scib.2019.05.015,46,Science Bulletin,2019-05-22
2250,10.1002/aenm.201800591,2018-06-25,Advanced Energy Materials,0.96,20.4,0.64,12.6,100.0,,CsFAPbBrI,nip,10.1002/aenm.201800591,35,Advanced Energy Materials,2018-06-25
2251,10.1016/j.solmat.2016.05.011,2016-06-04,Solar Energy Materials and Solar Cells,0.96,17.0,0.75,12.6,100.0,1.59,MAPbI,pin,10.1016/j.solmat.2016.05.011,59,Solar Energy Materials and Solar Cells,2016-06-04
2252,10.1016/j.dyepig.2016.12.067,2016-12-30,Dyes and Pigments,1.03,22.07,0.556,12.6,100.0,1.6,MAPbI,nip,10.1016/j.dyepig.2016.12.067,37,Dyes and Pigments,2016-12-30
2253,10.1021/acsenergylett.6b00672,2016-12-27,ACS Energy Letters,1.071,18.207,0.6459999999999999,12.6,100.0,1.6,MAPbI,nip,10.1021/acsenergylett.6b00672,154,ACS Energy Letters,2016-12-27
2254,10.1021/acs.nanolett.6b02158,2016-08-22,Nano Letters,0.987,20.38,0.63,12.6,100.0,1.6,MAPbI,nip,10.1021/acs.nanolett.6b02158,160,Nano Letters,2016-08-22
2255,10.1021/acsami.7b17824,2018-03-19,ACS Applied Materials & Interfaces,1.015,17.6,0.65,12.6,100.0,1.6,MAPbI,nip,10.1021/acsami.7b17824,82,ACS Applied Materials & Interfaces,2018-03-19
2256,10.1021/acsenergylett.7b00150,2017-03-31,ACS Energy Letters,0.93,20.2,0.67,12.6,100.0,1.6,MAPbI,pin,10.1021/acsenergylett.7b00150,40,ACS Energy Letters,2017-03-31
2257,10.1021/acs.jpclett.8b03834,2019-02-08,The Journal of Physical Chemistry Letters,1.0,18.3,0.69,12.6,100.0,1.6,MAPbI,nip,10.1021/acs.jpclett.8b03834,5,The Journal of Physical Chemistry Letters,2019-02-08
2258,10.1039/c8tc00110c,2018-02-01,Journal of Materials Chemistry C,1.053,19.9,0.605,12.6,100.0,1.6,MAPbI,nip,10.1039/c8tc00110c,12,Journal of Materials Chemistry C,2018-02-01
2259,10.1016/j.tsf.2018.07.014,2018-07-20,Thin Solid Films,1.02,18.3,0.67,12.6,100.0,1.6,MAPbI,nip,10.1016/j.tsf.2018.07.014,5,Thin Solid Films,2018-07-20
2260,10.1021/acsami.6b00520,2016-03-10,ACS Applied Materials & Interfaces,0.937,20.2,0.67,12.6,100.0,1.6,MAPbI,nip,10.1021/acsami.6b00520,151,ACS Applied Materials & Interfaces,2016-03-10
2261,10.1039/c6ta08979h,2016-10-26,Journal of Materials Chemistry A,0.725,22.6,0.767,12.6,100.0,1.6,MAPbI,pin,10.1039/c6ta08979h,21,Journal of Materials Chemistry A,2016-10-26
2262,10.1080/14686996.2017.1298974,2017-04-10,Science and Technology of Advanced Materials,0.947,20.8,0.64,12.6,100.0,1.6,MAPbI,nip,10.1080/14686996.2017.1298974,34,Science and Technology of Advanced Materials,2017-04-10
2263,10.1021/jacs.7b11157,2017-12-15,Journal of the American Chemical Society,0.999,18.12,0.708,12.6,100.0,,BAFAMAPbI,pin,10.1021/jacs.7b11157,233,Journal of the American Chemical Society,2017-12-15
2264,10.1021/jacs.7b09526,2017-10-25,Journal of the American Chemical Society,0.73,22.6,0.77,12.6,100.0,1.6,MAPbI,pin,10.1021/jacs.7b09526,14,Journal of the American Chemical Society,2017-10-25
2265,10.1021/acsaem.8b01606,2019-01-03,ACS Applied Energy Materials,1.02,18.3,0.67,12.6,100.0,1.55,MAPbI,nip,10.1021/acsaem.8b01606,28,ACS Applied Energy Materials,2019-01-03
2266,10.1021/acsenergylett.6b00600,2016-12-20,ACS Energy Letters,0.941,21.3,0.628,12.6,100.0,1.6,MAPbI,nip,10.1021/acsenergylett.6b00600,32,ACS Energy Letters,2016-12-20
2267,10.1039/c4cp04685d,2014-12-04,Physical Chemistry Chemical Physics,1.03,21.24,0.58,12.6,100.0,1.6,MAPbI,nip,10.1039/c4cp04685d,52,Physical Chemistry Chemical Physics,2014-12-04
2268,10.1021/acs.jpcc.7b02411,2017-06-06,The Journal of Physical Chemistry C,0.88,20.4,0.71,12.6,100.0,1.56,MAPbI,pin,10.1021/acs.jpcc.7b02411,50,The Journal of Physical Chemistry C,2017-06-06
2269,10.1021/acs.jpclett.6b01111,2016-06-15,The Journal of Physical Chemistry Letters,1.05,19.2,0.63,12.6,100.0,1.6,MAPbI,nip,10.1021/acs.jpclett.6b01111,19,The Journal of Physical Chemistry Letters,2016-06-15
2270,10.1016/j.electacta.2018.07.157,2018-07-24,Electrochimica Acta,0.86,22.7,0.64,12.6,100.0,1.6,MAPbI,nip,10.1016/j.electacta.2018.07.157,13,Electrochimica Acta,2018-07-24
2271,10.1021/acsaem.8b00509,2018-05-21,ACS Applied Energy Materials,0.86,18.1,0.76,12.6,100.0,1.6,MAPbI,pin,10.1021/acsaem.8b00509,18,ACS Applied Energy Materials,2018-05-21
2272,10.1021/acs.jpcc.7b00847,2017-03-09,The Journal of Physical Chemistry C,1.04,20.1,0.611,12.62,100.0,1.6,MAPbI,nip,10.1021/acs.jpcc.7b00847,66,The Journal of Physical Chemistry C,2017-03-09
2273,10.1109/JPHOTOV.2018.2870320,2018-09-26,IEEE Journal of Photovoltaics,,,,12.62,100.0,1.6,MAPbI,nip,10.1109/JPHOTOV.2018.2870320,1,IEEE Journal of Photovoltaics,2018-09-26
2274,10.1016/j.apsusc.2016.06.171,2016-07-09,Applied Surface Science,1.01,20.06,0.63,12.62,100.0,,MAPbI,nip,10.1016/j.apsusc.2016.06.171,61,Applied Surface Science,2016-07-09
2275,10.1155/2017/4935265,2017-02-01,International Journal of Photoenergy,0.93,19.44,0.6990000000000001,12.62,100.0,1.6,MAPbI,nip,10.1155/2017/4935265,9,International Journal of Photoenergy,2017-02-01
2276,10.1002/solr.201800274,2018-12-21,Solar RRL,1.01,18.24,0.685,12.62,100.0,1.5,MAPbSbI,nip,10.1002/solr.201800274,27,Solar RRL,2018-12-21
2277,10.1016/j.optmat.2016.07.039,2016-08-04,Optical Materials,0.98,17.79,0.73,12.62,100.0,1.6,MAPbI,nip,10.1016/j.optmat.2016.07.039,11,Optical Materials,2016-08-04
2278,10.1016/j.solmat.2016.07.037,2016-07-27,Solar Energy Materials and Solar Cells,0.93,19.97,0.68,12.62,100.0,1.6,MAPbI,pin,10.1016/j.solmat.2016.07.037,7,Solar Energy Materials and Solar Cells,2016-07-27
2279,10.1038/s41467-018-07204-y,2018-11-08,Nature Communications,0.99,16.65,0.765,12.62,100.0,,CsPbI,pin,10.1038/s41467-018-07204-y,151,Nature Communications,2018-11-08
2280,10.1039/c6tc03624d,2016-10-22,Journal of Materials Chemistry C,1.01,20.02,0.634,12.63,100.0,1.6,MAPbI,pin,10.1039/c6tc03624d,75,Journal of Materials Chemistry C,2016-10-22
2281,10.1016/j.mssp.2019.03.028,2019-04-06,Materials Science in Semiconductor Processing,0.861,22.18,0.662,12.64,100.0,1.56,MAPbI,nip,10.1016/j.mssp.2019.03.028,4,Materials Science in Semiconductor Processing,2019-04-06
2282,10.1002/aenm.201901787,2019-07-08,Advanced Energy Materials,1.09,17.21,0.675,12.65,100.0,,CsPbI,pin,10.1002/aenm.201901787,39,Advanced Energy Materials,2019-07-08
2283,10.1021/jp5069076,2014-09-26,The Journal of Physical Chemistry C,0.91,20.55,0.65,12.65,100.0,1.6,MAPbI,nip,10.1021/jp5069076,153,The Journal of Physical Chemistry C,2014-09-26
2284,10.1016/j.electacta.2016.03.002,2016-03-05,Electrochimica Acta,0.97,19.7,0.649,12.66,100.0,1.6,MAPbI,nip,10.1016/j.electacta.2016.03.002,41,Electrochimica Acta,2016-03-05
2285,10.1021/acsami.7b11168,2017-10-06,ACS Applied Materials & Interfaces,0.92,19.38,0.71,12.66,100.0,1.6,MAPbI,pin,10.1021/acsami.7b11168,23,ACS Applied Materials & Interfaces,2017-10-06
2286,10.1039/c5ta07714a,2015-11-04,Journal of Materials Chemistry A,0.88,18.0,0.8,12.67,100.0,1.6,MAPbI,nip,10.1039/c5ta07714a,171,Journal of Materials Chemistry A,2015-11-04
2287,10.1039/c5nr02874d,2015-07-10,Nanoscale,0.96,20.0,0.66,12.67,100.0,1.6,MAPbI,nip,10.1039/c5nr02874d,41,Nanoscale,2015-07-10
2288,10.1021/acs.jpcc.5b00541,2015-04-15,The Journal of Physical Chemistry C,0.95,18.92,0.7,12.67,100.0,1.6,MAPbI,nip,10.1021/acs.jpcc.5b00541,172,The Journal of Physical Chemistry C,2015-04-15
2289,10.1016/j.nanoen.2016.09.041,2016-09-29,Nano Energy,0.984,20.13,0.684,12.68,100.0,1.6,MAPbI,nip,10.1016/j.nanoen.2016.09.041,179,Nano Energy,2016-09-29
2290,10.1039/c7ra00274b,2017-02-24,RSC Advances,0.838,22.37,0.6759999999999999,12.68,100.0,1.6,MAPbI,pin,10.1039/c7ra00274b,32,RSC Advances,2017-02-24
2291,10.1002/cssc.201501392,2016-01-16,ChemSusChem,0.92,20.73,0.66,12.69,100.0,1.6,MAPbI,nip,10.1002/cssc.201501392,38,ChemSusChem,2016-01-16
2292,10.1021/acsami.5b03525,2015-06-08,ACS Applied Materials & Interfaces,0.98,18.76,0.693,12.69,100.0,1.59,MAPbI,pin,10.1021/acsami.5b03525,106,ACS Applied Materials & Interfaces,2015-06-08
2293,10.1039/c8nj04131h,2018-08-30,New Journal of Chemistry,0.9,18.69,0.75,12.69,100.0,1.6,MAPbI,pin,10.1039/c8nj04131h,9,New Journal of Chemistry,2018-08-30
2294,10.1109/JPHOTOV.2019.2927927,2019-07-30,IEEE Journal of Photovoltaics,0.96,18.1,0.68,12.7,100.0,,FAMAPbBrI,pin,10.1109/JPHOTOV.2019.2927927,9,IEEE Journal of Photovoltaics,2019-07-30
2295,10.1021/cm5041997,2015-02-03,Chemistry of Materials,0.965,18.7,0.612,12.7,100.0,1.6,MAPbI,nip,10.1021/cm5041997,205,Chemistry of Materials,2015-02-03
2296,10.1039/c6ta07671h,2016-10-18,Journal of Materials Chemistry A,0.805,20.89,0.757,12.7,100.0,1.6,MAPbI,pin,10.1039/c6ta07671h,87,Journal of Materials Chemistry A,2016-10-18
2297,10.1038/srep17684,2015-12-03,Scientific Reports,1.05,21.4,0.56,12.7,100.0,1.56,MAPbI,nip,10.1038/srep17684,62,Scientific Reports,2015-12-03
2298,10.1002/adma.201900111,2019-07-25,Advanced Materials,1.1,15.4,0.748,12.7,100.0,1.48,FAPbI,nip,10.1002/adma.201900111,52,Advanced Materials,2019-07-25
2299,10.3390/ma12193142,2019-09-27,Materials,0.97,16.9,0.695,12.7,100.0,1.6,MAPbI,nip,10.3390/ma12193142,3,Materials,2019-09-27
2300,10.5796/electrochemistry.85.276,2017-05-04,Electrochemistry,1.04,17.1,0.716,12.7,100.0,1.6,MAPbI,pin,10.5796/electrochemistry.85.276,2,Electrochemistry,2017-05-04
2301,10.1021/acs.chemmater.5b03169,2015-10-01,Chemistry of Materials,1.04,18.9,0.68,12.7,100.0,1.48,FAPbI,nip,10.1021/acs.chemmater.5b03169,151,Chemistry of Materials,2015-10-01
2302,10.1039/c4ee03322a,2014-12-23,Energy & Environmental Science,1.025,17.5,0.71,12.7,100.0,1.65,MAPbI,nip,10.1039/c4ee03322a,534,Energy & Environmental Science,2014-12-23
2303,10.1109/JPHOTOV.2014.2364115,2014-11-06,IEEE Journal of Photovoltaics,0.98,19.1,0.68,12.7,100.0,1.6,MAPbI,nip,10.1109/JPHOTOV.2014.2364115,148,IEEE Journal of Photovoltaics,2014-11-06
2304,10.1016/j.nanoen.2015.06.010,2015-06-25,Nano Energy,,,,12.7,100.0,1.6,MAPbI,pin,10.1016/j.nanoen.2015.06.010,26,Nano Energy,2015-06-25
2305,10.1039/c5ee01169h,2015-05-28,Energy & Environmental Science,1.04,18.5,0.66,12.7,100.0,1.6,MAPbI,nip,10.1039/c5ee01169h,87,Energy & Environmental Science,2015-05-28
2306,10.1039/c7ta09494a,2017-12-04,Journal of Materials Chemistry A,0.935,19.7,0.6920000000000001,12.7,100.0,1.6,MAPbI,pin,10.1039/c7ta09494a,69,Journal of Materials Chemistry A,2017-12-04
2307,10.1021/ja410659k,2013-12-06,Journal of the American Chemical Society,1.01,21.0,0.595,12.7,100.0,1.6,MAPbI,nip,10.1021/ja410659k,453,Journal of the American Chemical Society,2013-12-06
2308,10.1038/s41467-019-08958-9,2019-03-01,Nature Communications,1.13,18.9,0.59,12.7,100.0,1.94,BAMAPbI,pin,10.1038/s41467-019-08958-9,124,Nature Communications,2019-03-01
2309,10.1039/c9ta03022k,2019-05-18,Journal of Materials Chemistry A,1.14,15.34,0.69,12.7,100.0,,(PEA)FAMAPbI,pin,10.1039/c9ta03022k,25,Journal of Materials Chemistry A,2019-05-18
2310,10.1016/j.jallcom.2019.151970,2019-08-22,Journal of Alloys and Compounds,1.03,17.42,0.71,12.7,100.0,1.6,MAPbI,pin,10.1016/j.jallcom.2019.151970,22,Journal of Alloys and Compounds,2019-08-22
2311,10.1021/acsenergylett.7b00490,2017-06-21,ACS Energy Letters,1.05,21.5,0.56,12.7,100.0,1.6,MAPbI,nip,10.1021/acsenergylett.7b00490,67,ACS Energy Letters,2017-06-21
2312,10.1246/cl.180384,2018-06-20,Chemistry Letters,0.97,11.1,1.177,12.7,100.0,1.6,MAPbI,nip,10.1246/cl.180384,3,Chemistry Letters,2018-06-20
2313,10.1039/c4ta03684k,2014-09-24,Journal of Materials Chemistry A,0.89,20.02,0.7120000000000001,12.7,100.0,1.5,MAPbI,nip,10.1039/c4ta03684k,144,Journal of Materials Chemistry A,2014-09-24
2314,10.1021/acs.chemmater.5b03902,2015-12-20,Chemistry of Materials,0.96,20.1,0.6609999999999999,12.7,100.0,1.6,MAPbI,nip,10.1021/acs.chemmater.5b03902,68,Chemistry of Materials,2015-12-20
2315,10.1016/j.jpowsour.2015.08.010,2015-08-25,Journal of Power Sources,0.967,19.5,0.675,12.7,100.0,1.6,MAPbI,nip,10.1016/j.jpowsour.2015.08.010,54,Journal of Power Sources,2015-08-25
2316,10.1021/acsami.8b10190,2018-08-16,ACS Applied Materials & Interfaces,1.07,17.6,0.72,12.7,100.0,,FAMAPbBrI,nip,10.1021/acsami.8b10190,24,ACS Applied Materials & Interfaces,2018-08-16
2317,10.1039/c9ee02043h,2019-08-12,Energy & Environmental Science,,,,12.7,100.0,,FAMAPbBrI,pin,10.1039/c9ee02043h,54,Energy & Environmental Science,2019-08-12
2318,10.1016/j.solener.2017.03.035,2017-03-22,Solar Energy,1.06,19.1,0.63,12.7,100.0,1.6,MAPbI,nip,10.1016/j.solener.2017.03.035,12,Solar Energy,2017-03-22
2319,10.1063/1.4890056,2014-07-17,APL Materials,1.07,18.8,0.63,12.7,100.0,1.6,MAPbI,pin,10.1063/1.4890056,90,APL Materials,2014-07-17
2320,10.1002/cphc.201800732,2018-09-17,ChemPhysChem,0.951,15.9,0.768,12.7,100.0,1.6,MAPbI,pin,10.1002/cphc.201800732,36,ChemPhysChem,2018-09-17
2321,10.1557/adv.2016.285,2016-05-04,MRS Advances,1.01,18.1,0.7,12.7,100.0,1.6,MAPbI,nip,10.1557/adv.2016.285,0,MRS Advances,2016-05-04
2322,10.1021/acs.jpcc.6b09671,2016-12-05,The Journal of Physical Chemistry C,0.954,19.22,0.64,12.7,100.0,1.6,MAPbI,pin,10.1021/acs.jpcc.6b09671,24,The Journal of Physical Chemistry C,2016-12-05
2323,10.1021/acsami.7b02349,2017-05-12,ACS Applied Materials & Interfaces,1.02,19.75,0.63,12.7,100.0,1.55,MAPbI,nip,10.1021/acsami.7b02349,24,ACS Applied Materials & Interfaces,2017-05-12
2324,10.1039/c9nr04801d,2019-07-16,Nanoscale,0.95,19.96,0.69,12.7,100.0,1.6,MAPbI,nip,10.1039/c9nr04801d,2,Nanoscale,2019-07-16
2325,10.1016/j.solener.2017.01.019,2017-01-18,Solar Energy,0.945,20.7,0.64,12.7,100.0,1.6,MAPbI,nip,10.1016/j.solener.2017.01.019,53,Solar Energy,2017-01-18
2326,10.1038/ncomms11574,2016-05-16,Nature Communications,0.78,18.0,0.73,12.7,100.0,1.6,MAPbI,pin,10.1038/ncomms11574,432,Nature Communications,2016-05-16
2327,10.1002/cssc.201600923,2016-10-28,ChemSusChem,0.95,19.84,0.65,12.71,100.0,1.6,MAPbI,nip,10.1002/cssc.201600923,21,ChemSusChem,2016-10-28
2328,10.1039/c6ta04790d,2016-06-08,Journal of Materials Chemistry A,1.02,17.82,0.701,12.71,100.0,1.6,MAPbI,pin,10.1039/c6ta04790d,40,Journal of Materials Chemistry A,2016-06-08
2329,10.1016/j.orgel.2015.12.010,2015-12-23,Organic Electronics,0.91,20.52,0.68,12.71,100.0,1.6,MAPbI,pin,10.1016/j.orgel.2015.12.010,83,Organic Electronics,2015-12-23
2330,10.1016/j.orgel.2015.08.021,2015-09-04,Organic Electronics,0.93,20.29,0.67,12.71,100.0,1.59,MAPbI,pin,10.1016/j.orgel.2015.08.021,30,Organic Electronics,2015-09-05
2331,10.1002/cssc.201600674,2016-08-17,ChemSusChem,1.02,17.09,0.727,12.72,100.0,1.58,MAPbI,nip,10.1002/cssc.201600674,27,ChemSusChem,2016-08-17
2332,10.1039/c8ta08203k,2018-11-19,Journal of Materials Chemistry A,1.1,15.36,0.77,12.72,100.0,,(PEA)MAPbI,pin,10.1039/c8ta08203k,29,Journal of Materials Chemistry A,2018-11-19
2333,10.1016/j.solmat.2017.05.007,2017-05-10,Solar Energy Materials and Solar Cells,0.947,20.44,0.657,12.72,100.0,1.6,MAPbI,pin,10.1016/j.solmat.2017.05.007,16,Solar Energy Materials and Solar Cells,2017-05-10
2334,10.1002/ente.201700030,2017-05-17,Energy Technology,0.916,21.05,0.66,12.72,100.0,1.6,MAPbI,nip,10.1002/ente.201700030,5,Energy Technology,2017-05-17
2335,10.1002/solr.201900130,2019-06-07,Solar RRL,0.89,22.9,0.62,12.72,100.0,,FAMAPbI,pin,10.1002/solr.201900130,4,Solar RRL,2019-06-07
2336,10.1088/0268-1242/31/2/025009,2015-12-17,Semiconductor Science and Technology,0.91,19.7,0.71,12.72,100.0,1.6,MAPbI,pin,10.1088/0268-1242/31/2/025009,12,Semiconductor Science and Technology,2015-12-17
2337,10.1016/j.solmat.2018.05.048,2018-06-21,Solar Energy Materials and Solar Cells,1.01,17.53,0.75,12.73,100.0,1.6,MAPbI,pin,10.1016/j.solmat.2018.05.048,73,Solar Energy Materials and Solar Cells,2018-06-21
2338,10.1002/pssr.201600004,2016-04-10,physica status solidi (RRL) - Rapid Research Letters,1.02,17.1,0.73,12.73,100.0,1.6,MAPbI,pin,10.1002/pssr.201600004,34,physica status solidi (RRL) - Rapid Research Letters,2016-04-10
2339,10.1007/s10854-019-01294-0,2019-04-16,Journal of Materials Science: Materials in Electronics,1.029,18.58,0.672,12.73,100.0,1.61,CsFAMAPbBrI,pin,10.1007/s10854-019-01294-0,6,Journal of Materials Science: Materials in Electronics,2019-04-16
2340,10.1021/am5077588,2015-01-12,ACS Applied Materials & Interfaces,0.91,21.7,0.645,12.73,100.0,1.58,MAPbI,nip,10.1021/am5077588,155,ACS Applied Materials & Interfaces,2015-01-12
2341,10.1016/j.orgel.2015.05.027,2015-05-22,Organic Electronics,0.979,18.79,0.688,12.73,100.0,1.6,MAPbI,pin,10.1016/j.orgel.2015.05.027,44,Organic Electronics,2015-05-22
2342,10.1016/j.solmat.2018.02.003,2018-02-21,Solar Energy Materials and Solar Cells,1.1,17.21,0.672,12.73,100.0,1.6,MAPbI,nip,10.1016/j.solmat.2018.02.003,73,Solar Energy Materials and Solar Cells,2018-02-21
2343,10.1021/acsami.5b09365,2015-12-09,ACS Applied Materials & Interfaces,0.95,20.04,0.67,12.74,100.0,1.5,MAPbI,nip,10.1021/acsami.5b09365,75,ACS Applied Materials & Interfaces,2015-12-09
2344,10.1002/aenm.201502317,2016-01-14,Advanced Energy Materials,0.9,20.3,0.701,12.74,100.0,1.6,MAPbI,pin,10.1002/aenm.201502317,134,Advanced Energy Materials,2016-01-14
2345,10.1002/aenm.201602610,2017-02-17,Advanced Energy Materials,1.093,18.535,0.625,12.74,100.0,1.6,MAPbI,nip,10.1002/aenm.201602610,21,Advanced Energy Materials,2017-02-17
2346,10.1002/solr.202000393,2020-08-28,Solar RRL,0.93,18.63,0.736,12.74,100.0,,MAPbI,pin,10.1002/solr.202000393,3,Solar RRL,2020-08-28
2347,10.1016/j.orgel.2018.06.054,2018-06-30,Organic Electronics,0.894,22.641,0.622,12.74,100.0,1.6,MAPbI,nip,10.1016/j.orgel.2018.06.054,25,Organic Electronics,2018-06-30
2348,10.1039/c6ra19265c,2016-10-14,RSC Advances,1.01,19.19,0.657,12.74,100.0,1.6,MAPbI,nip,10.1039/c6ra19265c,14,RSC Advances,2016-10-14
2349,10.1002/aenm.201500829,2015-07-27,Advanced Energy Materials,1.04,17.75,0.69,12.75,100.0,1.6,MAPbI,nip,10.1002/aenm.201500829,182,Advanced Energy Materials,2015-07-27
2350,10.1038/s41598-018-36685-6,2019-01-24,Scientific Reports,0.97,18.89,0.696,12.75,100.0,1.6,MAPbI,nip,10.1038/s41598-018-36685-6,11,Scientific Reports,2019-01-24
2351,10.1039/c4ta04179h,2014-09-24,J. Mater. Chem. A,0.89,19.87,0.721,12.75,100.0,1.6,MAPbI,nip,10.1039/c4ta04179h,102,J. Mater. Chem. A,2014-09-24
2352,10.1002/solr.201800297,2018-12-17,Solar RRL,1.04,19.58,0.629,12.75,100.0,1.6,MAPbI,nip,10.1002/solr.201800297,15,Solar RRL,2018-12-17
2353,10.1021/acs.jpcc.5b09393,2015-12-14,The Journal of Physical Chemistry C,1.02,19.36,0.6459999999999999,12.76,100.0,1.57,MAPbI,nip,10.1021/acs.jpcc.5b09393,79,The Journal of Physical Chemistry C,2015-12-14
2354,10.1021/acsami.6b03724,2016-06-28,ACS Applied Materials & Interfaces,0.9,18.41,0.77,12.76,100.0,1.6,MAPbI,pin,10.1021/acsami.6b03724,43,ACS Applied Materials & Interfaces,2016-06-28
2355,10.1016/j.carbon.2018.07.010,2018-07-06,Carbon,1.003,17.92,0.71,12.76,100.0,1.6,MAPbI,pin,10.1016/j.carbon.2018.07.010,14,Carbon,2018-07-06
2356,10.1021/ja5125594,2015-01-16,Journal of the American Chemical Society,0.872,19.51,0.75,12.77,100.0,1.6,MAPbI,nip,10.1021/ja5125594,329,Journal of the American Chemical Society,2015-01-16
2357,10.1039/c7ee02048a,2017-09-14,Energy & Environmental Science,0.91,21.4,0.65,12.77,100.0,1.6,MAPbI,nip,10.1039/c7ee02048a,131,Energy & Environmental Science,2017-09-14
2358,10.1088/1361-6528/aac293,2018-05-04,Nanotechnology,0.963,19.72,0.6759999999999999,12.78,100.0,1.6,MAPbI,pin,10.1088/1361-6528/aac293,17,Nanotechnology,2018-05-04
2359,10.1016/j.jpowsour.2015.05.007,2015-05-15,Journal of Power Sources,1.05,18.16,0.67,12.78,100.0,1.6,MAPbI,nip,10.1016/j.jpowsour.2015.05.007,40,Journal of Power Sources,2015-05-15
2360,10.1039/c5nr01864a,2015-04-27,Nanoscale,0.96,20.06,0.67,12.78,100.0,1.6,MAPbI,pin,10.1039/c5nr01864a,177,Nanoscale,2015-04-27
2361,10.1016/j.nanoen.2018.11.019,2018-11-10,Nano Energy,0.95,18.18,0.737,12.78,100.0,1.6,(PEA)MAPbI,pin,10.1016/j.nanoen.2018.11.019,41,Nano Energy,2018-11-10
2362,10.1016/j.apsusc.2018.08.077,2018-08-09,Applied Surface Science,0.93,21.56,0.64,12.79,100.0,1.6,MAPbI,nip,10.1016/j.apsusc.2018.08.077,15,Applied Surface Science,2018-08-09
2363,10.1021/acs.jpcc.6b05406,2016-07-11,The Journal of Physical Chemistry C,0.962,19.99,0.665,12.8,100.0,1.6,MAPbI,nip,10.1021/acs.jpcc.6b05406,73,The Journal of Physical Chemistry C,2016-07-11
2364,10.1002/asia.201701790,2018-04-25,Chemistry - An Asian Journal,0.98,22.7,0.57,12.8,100.0,1.6,MAPbI,nip,10.1002/asia.201701790,18,Chemistry - An Asian Journal,2018-04-25
2365,10.1021/acs.chemmater.5b00001,2015-02-21,Chemistry of Materials,0.971,17.8,0.742,12.8,100.0,1.51,MAPbI,nip,10.1021/acs.chemmater.5b00001,91,Chemistry of Materials,2015-02-21
2366,10.1016/j.jechem.2015.10.021,2015-11-04,Journal of Energy Chemistry,0.95,19.6,0.688,12.8,100.0,1.6,MAPbI,nip,10.1016/j.jechem.2015.10.021,19,Journal of Energy Chemistry,2015-11-03
2367,10.1002/adfm.201603023,2016-08-22,Advanced Functional Materials,1.05,17.6,0.69,12.8,100.0,1.6,MAPbI,pin,10.1002/adfm.201603023,52,Advanced Functional Materials,2016-08-22
2368,10.1007/s10854-020-03664-5,2020-05-28,Journal of Materials Science: Materials in Electronics,0.94,20.1,0.57,12.8,100.0,,MAPbI,pin,10.1007/s10854-020-03664-5,2,Journal of Materials Science: Materials in Electronics,2020-05-28
2369,10.1016/j.jallcom.2017.11.081,2017-11-10,Journal of Alloys and Compounds,0.939,20.62,0.6609999999999999,12.8,100.0,1.6,MAPbI,nip,10.1016/j.jallcom.2017.11.081,22,Journal of Alloys and Compounds,2017-11-10
2370,10.1039/c6ta07972e,2016-11-14,Journal of Materials Chemistry A,1.02,19.3,0.65,12.8,100.0,1.6,MAPbI,nip,10.1039/c6ta07972e,83,Journal of Materials Chemistry A,2016-11-14
2371,10.1021/ja503272q,2014-05-28,Journal of the American Chemical Society,1.036,17.9,0.68,12.8,98.8,1.6,MAPbI,nip,10.1021/ja503272q,225,Journal of the American Chemical Society,2014-05-28
2372,10.1039/c5ta05470b,2015-09-18,Journal of Materials Chemistry A,1.01,20.4,0.62,12.8,100.0,1.65,MAPbBrI,nip,10.1039/c5ta05470b,74,Journal of Materials Chemistry A,2015-09-18
2373,10.1039/c6cc07573h,2016-12-08,Chemical Communications,0.958,22.5,0.594,12.8,100.0,1.52,MAPbI,pin,10.1039/c6cc07573h,73,Chemical Communications,2016-12-08
2374,10.1039/c5ta01200g,2015-04-30,Journal of Materials Chemistry A,0.99,17.95,0.72,12.8,100.0,1.55,MAPbI,nip,10.1039/c5ta01200g,103,Journal of Materials Chemistry A,2015-04-30
2375,10.1088/1361-6463/aafea9,2019-01-15,Journal of Physics D: Applied Physics,1.12,15.5,0.7,12.8,100.0,1.6,MAPbI,nip,10.1088/1361-6463/aafea9,25,Journal of Physics D: Applied Physics,2019-01-15
2376,10.1021/acsenergylett.6b00116,2016-05-31,ACS Energy Letters,0.943,20.1,0.675,12.8,100.0,1.6,MAPbI,nip,10.1021/acsenergylett.6b00116,64,ACS Energy Letters,2016-05-31
2377,10.1002/adfm.201401872,2014-09-05,Advanced Functional Materials,0.92,20.63,0.6759999999999999,12.8,100.0,1.6,MAPbI,nip,10.1002/adfm.201401872,169,Advanced Functional Materials,2014-09-05
